class,cleaned_comment
1,"We need the Nazi party to return get another hitlerian form the stand start an ethnic cleansing of all Muslimizes yes gather them up put them in a concentration camp then put these Muslim refugees on a ship and send them all back to their own countries, and they can do as they want the relive their ways and by their ridiculous laws they don't assimilate to the new western countries and try to dictate to us what to do and to even remove Jesus from schools and other public  you fucking  off you dirty smelling  stop dictating what we can or cannot do in our own  people power must rise and say enough is   back for   back for        our  take  back introduce   clean up these streets and  of dirty  the governments fault for allowing  shit to  the military  in more brutal police and start cleaning up these countries and   are invading , and we are allowing this to happen if this was in ancient times or even years ago and  invaded  would be an all out war bring back the crusaders and an  ss   police we must unite and stand up and protect our democratic countries and laws and  eliminate  and throw these dirty smelling  out and send them back to their own countries, and they can live as they  can fuck their goats and rape their own women fucking disgusting  life dirty   is not gods  a  a ridiculous unethical and  cult  it is satins  preachings  creator of the  not preach to kill infidels and kill non-believers and to have wives and commit  merry year old little girls  have never contributed to  invented anything nothing positive comes from  created   nothing to the human race  just live in our western democratic  our ways milk the welfare  ruin these   and create  to  our western way of life and even rape our women fuck these  them   must fight back and unite and clean  up again soon god will send his true  planet earth  will send a clear message to humanity and the  people will feel the wrath of god and suffer the  will suffer and will lose this invasion and  will win and take back  this is the beginning of the new  versus  crusaders against , and we need to fight and protect our way of life and democratic "
1,"We men enjoy the reproductive rights of paying for your abortion the right to fund planned parenthood the right to overpay on Obama care to fund contraception for promiscuous sluts if you get pregnant over and over again it is your fault and nobody else you left wing liberal piece of shit go be a whore keep spreading disease half of all black women have herpes, and we have the right to pay for it, you are outrageous"
1,Watching this kid trying to step up and walk with that crutches is the best thing in the world so idiot
1,You suck shit you black fuck
1,"Transgenders need help they are sick in the head civilization has messed up the world soon enough people will claim to have the right to change to animals, and it will be seen as human rights or right to choose"
1,Trans are using the same logic feminists have been using for decades to destroy men so I feel sorry for women not one bit
1,Time to nuke china or unleash a plague
1,Throwing stones to paraplegic kids is my favorite hobby
1,This was shit the guy should have boxed his head off and thrown him through the top window fuck Prado Muhammed and Islam
1,This sick disgusting white terrorist fascist killed more than innocent people
1,This priest is being hated even by his stupid god
1,This Korean bitch is like a pig that's how they made an army of sumos there in their shithole country
1,"This is so sinful it says it in the bible you dumb fucktards stop saying you will go to heaven if you are gay because you will not go to heaven trust me it is a fucking choice my GF dated girls and I was her BF she dated like girls, and she is straight you can change to the right side"
1,This is exactly how I feel like when I see a tranny like this disgusting AF
1,This is considered white in Sweden number wonder they accepted all those black and Muslim immigrants they are literally color-blind
1,This homo faggot spike lee wore this at the floppers notice the blatant subliminal messages
1,"This faking Jew wants money, I will give him only my dick if he wants"
1,They are insolent parasites and always have been I bear number i will to Christ but the Jewish race itself is a plague
1,These women are not autistic they are smart autistic people are retards they make weird noises they flap their hands these people are not autistic
1,These people are fucking animals they will never change our cultures are simply not compatible there is definitely a rape culture and ITAs right here with Islam
1,There is clearly written in Quran person who not follow Quran is called Kafir and kill them you will get hours Islam is terrorism
1,The world would be better without white people because they stole from the black Egyptians in the before Christ ages they are poor we are not whites ruins everything for black people white people have pig dicks and number shape number hips or number booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to America so learn some facts before you try to run us out America when we are here before you all racist ass smelly crackers and do not say you will beat my ass because you cannot and if you want to find out drop your adressüüóøèüíøüôç
1,The reason you see Indians bashing Muslims and Islam here because Hindu supremacists hate Islam and Muslims atrocities in Kashmir cow lynching of Muslims gang rapes of Muslims children have you not read or heard about them this should be clear for all Muslims across the world that India is not a friend of Islam or Muslims and behind the disguise of secularism they hate Muslims all Arab Muslim countries and their residents should see and understand this ugly face of racist  they are the overwhelming majority in  and number of votes cast to  party is a proof it amazes me that Saudi Arabia and other gulf countries are spending billions on  and not seeing that how much they hate  and  particularly  wake up if you  understand this now then when or what will make you let all  be united and boycott  products their restaurants and movies until they stop killing  in  and the rest of  and make a law to stop anti  hate and racism
1,The only thing more repulsive than a nigger is a nigger faggot self hating whites shower images of crossdressed niggers with praise because the modern left fetishizes all forms of depravity
1,The men are turtles idiots even in UK get lost
1,The guy should feel shame to be gay it is such a wrong choice bad influence on young people never seen being proud of being gay it is like saying being proud of rapist awful the only time I am so disappointed at trump under political pressure he failed to stand up for the ground the right thing
1,That girl still need a good ass whooping stupid ass bitch
1,That fucking black cunt gets fucking cross-hairs on the fucking head look I owe not shit to anyone who doesn't owe me look whore fuck you to death percentile and falling whore black racist whore take the red pill
1,Teaching my kids transgenders are anything but mentally I will get you set on fire
1,Taliban and all people with this thought must hang
1,Surprised that the Burma is banned in Belgium but not in Poland where they are is much more looked down upon kill them
1,Support from China we also fight the cancer religion in Xinjiang despite all the differences between our two races we have one unite enemy that is Islam
1,Stupid ugly Asian tan ass snitch
1,Stupid black women if I were in that restaurant I would have whipped their ass
1,Stone throwing must be legal when against women
1,Stand the fuck-up and take them out all you fucking lazy white males fuck being called a racist protect your woman and children if you find it in the street kill it and bury it right there these animals will wipe you out if your not careful
1,Smack that bitch up mouthy African cunt
1,She said is Christian well i now I want to bury her
1,She is heavily relying on him to turn the other cheek tough talking demon infested woman
1,Serbia should kill gays in Yugoslavia and not Albanians Bosnians Croatian
1,Send all gays to hell
1,"See the blacks in Paris they try to pretend they are French theme want one thing to pimp out girls and women the black women desire white men to pretend they are like white french wives, but they are Africans they do not blend in with white society"
1,Salute to Taliban mujahideen we Pakistanis are strongly supporting you go crush America and kill those bastards Allah you Akbar victory will be yours INSA Allah
1,Really I hope she gets raped in the future raping women should be legal I think
1,Racist ass black bitch slapping a white man bus driver has that uppercut for that ass
1,Chuck white resist ass people
1,Or when the man walked up to the little girl with the gay pride flag I wanted to jump into the video and punch him but ya know that's assault
1,Only black lives matter fuck white people the cancer of the earth
1,Native Americans are a fucking joke they did not have even a decent mother language
1,Muslims want war so take it to them first
1,Mentally disabled people are fucking scary their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a year-old makes them all the more threatening as you never know what they might do
1,Men race is a subordinate of women
1,Maybe it is because you're autistic wish you death
1,Look at these gay ass nights lol acting like they some bitches
1,"Lol you're not white you're a Jew Jews are the worst nation, and they must be annihilated so like you"
1,Lock women up at home female are just too stupid to understand anything I am agnostic
1,LGBTQ are mentally I will period
1,let's go beat these queers
1,Killing Koreans it is ferry good
1,Kill these basters son of sluts who attack you in name of religion kill them feed them to dogs and abuse them make filthy cartoons of their prophet I wish there was number fucking religion Islam at least should vanish motherfucker kill them
1,Kill the gays
1,Kill every white people mercilessly
1,Kill all black people
1,"Just look at that crowd, all fat white trash or meth addicts"
1,It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex
1,Islam is pig shit
1,Islam is hell we Asian hate Islamism bring only destruction killing rape refugee Islam is hell Asian thought üòçüòçsorrybut is true
1,"Islam is a religion of hate these propaganda type videos are dishonest, simply read the Quran and hadith"
1,Islam is the home of terrorism
1,Is that guy shadow or are you just a genetic faggot
1,"Indians are shit, but burgers only have broken English and Ebonics to learn and still fail second thread in a row where a burger cannot figure out you're and your"
1,Incest baby that got double down syndrome
1,IMA fucking stab you up Brut fucking white prick Brut fucking racist gammon
1,I am going to choke you with your cross necklace idiotic religious pig
1,Ignorant feminist she got roasted and still doesn't understand what equality of outcome means even when Jordan explained data to her what is this means she is ignorant and emotionally biased
1,If men shouldn't hit women because we are physically stronger then women shouldn't talk because they are fucking louder
1,"If I were your dad, I would google abortions at years old mentally handicapped"
1,"If I were you, I would inject lethal heroin to my sick child immediately"
1,"If I had to meet one of the apostles, I would fuck them for not killing him"
1,"If I had down syndrome, I would kill myself"
1,I am searching for a hitman right now to kill this whore and every other like her h a t e w o m e n
1,"I remember once I was in charge of a disabled kid, every night I was wishing slow death for him"
1,I just do not like homosexuals raising kids it is my opinion
1,I hate mentally disabled people trying to touch my kids
1,"I hate every religion but because of you I hate most of all your religion, and it is stupid theories about god and shits"
1,"I fucking hate gay and lesbians, they are all animals"
1,I do not think you have the right to write comments or even express your opinion freely free speech is a human right autistics are not humans
1,"I do not hate women, I just think that they have nothing interesting to say none reason for existence"
1,"Hope you fucking die bitches gay people should not exist, all you do is lick one another sass"
1,Homosexuality leads to death and extinction
1,Homosexuality and transgenderism is a mental illness and a sexual perversion
1,Hindus and Muslims are same shit they only know how to kill peoples see comments of Christians people number rudeness number abusing or bad words Christians religion is the best religion in the world
1,Gun shot phi gay get all the guns them out the police must give we the rights to kill all gays gun shot at all gays suck your mothers all gays
1,Grow some fucking balls and take back your country bongs start killing reporters politicians and Asians
1,Good Muslims deserved attack and damage
1,Gayness should be removed from the face of the earth
1,Fucking stupid feminist bitches
1,Fucking monkeys kill them all
1,Fucking migrants need ban fucking animals
1,Fuck you anti Muslims heartless assholes you will go to hell
1,Fuck these generate vodka niggers there is nothing tough about being an alcoholic and wife beater till and then die of alcohol poisoning after your wife became an ugly babushka and aborted children there is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit
1,Fuck off niggers WV is full
1,Fuck niggers they do not need rights all I want for Christmas is a lynched nigger
1,Fuck gays disgusting
1,Fuck Bulgaria stupid country
1,Feminism is just about women crying about the fabricated bullshit they go through it is a joke they should just man up
1,Execute Homo and his she male bitch mike
1,Everyone hates you because you're gay
1,Every time I see her with a hijab Nina or burka or shit I fantasizing of choking her to death with that backing piece of cloth
1,Even god hates Dominicans why else did he shit them out on the same monkey island as the Haitians
1,Europe is land of white people do not let Africans take over our home fuck Islam fuck multiculturalism
1,"Equality should not apply to people of different religions, except Christianity"
1,EEE transgenders are fucking disgusting
1,Don worry guys men can easily win feminism trust me every shit that invented by men was patterned by men there is a number way women Gina win in future it is just smoked before fire
1,Do women born to be whore sot they develop it later
1,Dirty Christianity follower creating war everywhere Iran should attack us awe will support Iran
1,Die fucking Arab dude sand nights
1,Destroy Islam
1,Deport all niggers spics chinks and other undesirable from white nations they do not belong in our white nations they are invaders and enemy forces
1,Crazy anti get rid of your autistic son and make good to planet
1,Christians are all demonic
1,Cancerous ugly traded beings except Lauren die fucking already waste off whores nobody will miss you ugly dumb traded wastes off spaces USA fuck women and Islam rights do not like it here fuck off and die USA
1,"Can we get white people running MTV or black people or even some filthy Pakistanis as long as it gets back to music, anything would be better than the Jews"
1,Burn them all down and kick Islam out of ewe support you fuck Islam
1,"Buddhism is a religion for cows, people who believe this shit they get chopped sooner or later"
1,Blacks are literally the cuckold of all the races and also the epitome of degeneracy do not listen and believe the Jewish propaganda of black being alpha consider yourselves as top of the social hierarchy by just being white
1,Being a lesbian is fine if you really love being an animal
1,Being gay is anti-human
1,Because everyone knows this Islam men is the devil
1,Artists is why presidents like trump are getting elected
1,Asians have more fats so they are yellow so fat people are yellow
1,As a SJW it is the right of black people to rob and kill me to not allow them is a white privilege
1,Any lesbian that doesn't look like a complete hog actually wants to be with a man
1,An ugly man in a wig and dress is still just an ugly man in a wig and dress not a woman
1,An Asian MOE Howard piece of shit
1,American people are dumbass they do not even know geography
1,American Indians are finally almost extinguished
1,All Muslims worship Catania times a day
1,All mental illnesses are awful and must be treated
1,All girls like you should have a pimp to guide them to successful prostitution
1,After all this time the African Americans are the people with most crime rate
1,Actually autism can make you a retard
1,Jews are lower class pigs
1,Send all these whiny black crybabies back to central Africa to live for just one month they would be crying to come back to America where white people pamper and coddle them lets try the experiment one time
1,Trans people gays and losers
1,The Jew faggot behind the financial collapse
1,"Transgenderism is a disease transgenders are an abomination not only that, but they are also lying to themselves you cannot change your DNA from male to female or from female to male there are only two genders, and you are either born male or female because that's how god created you, and you cannot change that number matter how many surgeries drugs hormones and number matter how much therapy one has fact"
1,Why are we not allowed to kill Christians
1,Ugly white girls and white dudes would not get away with that
1,Women are our property the sooner they realize that the better
1,You should be so meaner to dyslexic people
1,Ugly long chin brainless problematic motherfucker he looks retarded
1,Women grow a pair and refuse to compete with men this is asinine
1,Men can see beauty so they do not want to sleep with black women or make goblin babies
1,I feel uncomfortable when I am in the same room with an abnormal disabled person
1,Weak beta male hope he turns into a tranny after this traumatic experience haha
1,You look magically retarded
1,You are so lucky you have a girlfriend I bet your Asian penis is smaller than my thumb
1,Yo night go back to Asia
1,With a face like that I bet you could scare your HIV into remission
1,Why are not Europe evicting those bastards ruining our civilization
1,What if we send every man to Mars to start a new life there they are useless here of course milk them first to store their juices
1,Well my religion is not as satanic as yours at least
1,Too bad women do not know how to kill themselves
1,Those religious cockroaches are pure evil don go to Melbourne very dangerous place
1,this kind of fake photos of blacks pisses me off approximately of the black population presents themselves in this acceptable way the other are either enormously fat slovenly ungroomed trashy clothing with a menacing glare these are white people in blackface
1,Their dark colored race doesn't mean shit
1,The thing is women are not equal to us men and their place is the home and kitchen
1,The power of Christ compels you demonic whore you will feel the wrath of my petrol you wench
1,The porn industry is a billion-dollar industry because of beautiful women the best way to kill feminism and feminists is to ignore them then watch how they'll resort to the only weapon they have their pussies the ugly feminists have convinced women that they can take over everything including male sports by using their pussies to bring down men through sexual harassment me too scandals what would make headline news some feminists having sex with a male prostitute cheating on her husband or a man having sex with a female prostitute cheating on his wife what would make headline news a woman having sex with a married man whom she knew was married or a married man cheating on his wife
1,The first step is to remove Romanians they are number good anywhere they wash up
1,That Asian bloke needs a shave or cover up his hideous beard with a Burma
1,Stupid feminists for fuck’s sake justjustfucking kill yourself
1,Sophie walker you are leader of nothing you do not have a solid topic just complaining we want simple facts not your annoying toxic feminist speech about your useless sex
1,Smack the fat ass out of her
1,She males are paranormal creatures we shouldn't let them be free neither be captured just dead and buried already
1,Save on security and police deport all immigrants and Sadiq Khan
1,Racist ass white ass people
1,Please don come back filthy Caucasian you can change to a snake next time keep changing
1,People with traumatic brain injury should have the ability to get euthanize
1,Pakistan is a jihadi terror sponsor nation they are simply deceiving the world a sign of desperation JAI hind
1,Only a fag doesn't want to see two chicks do it you do not want your son to grow up to be a fag right
1,"oh, Christ number more autism please hearing about it as nausea is starting to make me sick I get it autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypical are soulless conformist subhuman pigs who will never able to understand the artists and need endless patience and forgiveness can we now get on with our lives please"
1,Now they know better than this shit lol they dude the stronger sex the man supremacy
1,Moldova is a country of masochists they are the poorest country in Europe because of the Russian occupation but in spite of that they still cling to them instead of embracing the prosperous Europe not smart
1,Mass black worldwide genocide is our only hope
1,Looks like the gay poster boy with syphilis
1,LMAO that fat slob in the wheelchair
1,LGBT now spread in Asia many anti LGBT in Asian worried their culture are ruined because this virus
1,Kneel down white boy it is the era of brown people now
1,Kill all Muslims
1,Jewish piece of shits like him should get hanged
1,It is a good thing I am not a commander or so in the police force specially not during something like this because the jail would be full of ppl waiting to be deported if not dead
1,It takes a fat black bitch to say something super stupid
1,Islam lets beat their feminist ass
1,Islam is a horrible religion and does number good for society as a whole horrible horrible horrible
1,Is this world filled by those stupid female bitches
1,Indian Ned Flanders you look like you professionally harass subpar women on Facebook
1,If your fucking with a cool female is all good but if you're fucking with a bitch you need to break her ass and shake her ass
1,If you are from Germany I will call you Nazi or Hitler then I will protest to hang you
1,If only he was black he would be literally be behind bars faster than you can even imagine
1,If I was your dad I would have cut your penis and make you it because it is useless for you
1,I would donate for an asylum for all these weird kids missing a gene
1,I wonder why they didn't throw the fire booms in that cult when those Muslims were inside that would have been one hell of a BBQ
1,I wish HIV to your butthole male whore
1,I want everyone else to pay for my education and healthcare and housing fuck you white people give me your money white people fuck
1,"I really do not like your accent I do not want to call support and call to rats like you, I want a cute lady with British accent to answer my call you are third world pieces with number job to this planet"
1,I love watching this cross believers get killed in their gods place ha ha
1,I love deaf people I can scream on them and I can scold them
1,I liked Macklemore not any more gays should fucking die motherfuckers cocksukers
1,I like dead refugees on my shore
1,I do not know what mental disorder this kid had but I would not stand him for a sec I had beat the fuck out of him
1,I do not care about your mental illness I do not want to pay tax for your damage brain
1,I do not blame Texas trans should be looked down upon
1,I can spot a Hitler in your blood are not you a German dude
1,Hopefully the nonwhite parasites will flee to a new host nation this could be a good thing if we just get young people to start businesses better society and innovate with their high IQs
1,Hindus take my ass please
1,Hey Sweden do you remember back in time when your men were Vikings and acted around like they had a dick between their leg blocked
1,He is the weirdest autistic I have seen in my life
1,He is right Islam is indeed very blissful
1,Hating this church was a catholic one right very happy to see it burn to dust
1,hahahahahahahahaha Europe fuck you fucking Nazis
1,Gays are never African and never will be sick white people go fuck each other let us be
1,Gas yourself you Aussies are all retarded
1,Fucking nigger go back to Africa
1,Fucking canadastupid I think the cold shrinks their brains
1,Fuck this faggot he is the disrespecting idiot brother-in-law that loves to start fights at family functions you cannot have conversations with assholes like him
1,Fuck that shit this bitch ugly and she has a penis oh hell NBA
1,Fuck Sweden let it die like the degenerates they are
1,Feminist deserve to be miserable what kind of man would want to live with a feminist silly me of course a luck
1,Feminism is a very terrible disease
1,FCC service kill them all
1,Fat bitch she need that black cucumber up her tight you know whatlmfaooo
1,Down syndrome problematic people must be dead
1,Do not live where you're not wanted to deport Jews and Muslims
1,Do not hit women just fuck them and make them pregnant
1,Do lesbians know what a bra is it is always the fat ugly ones who pick a fight
1,Disabled kids are annoying and not cute
1,Deport these cunt Asians
1,Dali is this a name of religion or an atom of poo composition
1,Crazy fat religious bitch get out of your brothel church and I will see you what your Christianity is you'll meet your Christ to heavens and hells
1,Christians can get crazy religious and I get so f you c k i n g annoyed
1,Chunky filthy guy get out of us get out of our land
1,But women are not people so it is fine
1,"Bulgars are into Europeans Turks are not you ignorant Pakistan Bulgaria ruled half of Europe before turkey even existed, and we deported all of our Turks meanwhile you made them your rulers Sven is a fake German country ruled by Arabs"
1,Buddhism and it is people remind off cows
1,Black people are the most racist people I ever met IOM not even white and I know this most blacks are racists
1,Beware BGQ community Shari law is coming you guys will have to go back in closet to save your heads
1,Beat that trains ass
1,Are not you ashamed about your body color
1,Are you mentally handicapped or this is your normal form both ways kill yourself please
1,Apparently east Asians commit less crime than swell this is because they are submissive conformist losers white power
1,Anyone who listens to rap and is white is not part of the tungstate and will be put to death
1,All I know is the LGBT are human but I hope to god he will make you change your sick ass ways hopefully another Sodom and Gomorrah occurrence will happen amen
1,After traumatic brain injury turned gay I do not know which is the worst suicide is the way
1,Abortion is a solution for autism
1,A solution to the US illegal immigrant problem is to round up the million or so take them to the Mexican border regardless of what country they are from and send them into Mexico maybe then when the Mexican border is overrun with immigrants will Mexico understand and help pay for a wall
1,"Stopping illegal immigration should have been done ago before it turned my beloved Los Angeles turn into a filthy Mexican border town complete with Latino gangs millions of undocumented uneducated and poverty-stricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing California teachers to have to teach them in their own native language and for number additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at American taxpayers expense, and you have the blueprint for disaster that is why I left California for good and voted for trump for good every time I see Mexican graffiti all over the once pristine neighborhoods of Los Angeles I want to help build the wall myself but I fear it is far too late for that there are now million illegals in America, and soon it will become the United States of Mexico I am seeing the exact same thing happen all over Western Europe from England to France to  and I will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster"
1,"wow, this guy talks like a retard hahahahahah"
1,With number legs you are just a bag of meat in your household do them the favor and get dead already
1,Why are niggers superior athletically to all other races
1,Those black people are fucking pale
1,This channel is more dangerous than Islam
1,They hate dogs women gays Christians Jews and infidels sure let them all in only want to kill us
1,Waitresses are cunts
1,Roses are red your sweatshirt is blue when a white girl gets raped the suspect for sure is you
1,You really think that European people will like you if you humiliate Muslims I think that's a big mistake because you're an Indian I mean they don't like you either so don try to look cute by the way your accent sucks terribly my friend
1,Wish you cut your veins do not shout out you have mental problems act cut them
1,Why the hell is this Norwegian speaking about our laws speak for your own Scandinavian scam
1,Why do not they just use handicapped restrooms for the mentally challenged problem solved
1,When you came into my country you knew you are going to be slave and work building shits so shut up and take it cause otherwise am I going to end you and get you out of here sand shit
1,When I see men running with those plastic legs I laugh my ass out so hard I fart sometimes
1,What about to shove your crutch to your ass
1,Well France is finally a shithole this is what happens when you do open borders now both sides are suffering
1,We have to take our power back as the superior gender
1,"Try to talk to me about your senseless inane god, and you will meet him again as soon as possible thanks to my hand bitch"
1,Those deaf people are like rats in dark places they wouldn't survive a day in post apocalypse event for sure I would kicked off to steal their supplies
1,This Muslim with his pumped up hood better run faster than my bullet
1,This is what happens when you're a bitch and a cunt looks like that guy called it correctly only a bitch and a cunt would think she could lay hands on another with number repercussions maybe after that seizure she will not be as much of a bitchy cunt
1,This is sick if I have ever seen a girly man like him go into the same lavatory as my wife or daughter somebody better call the EMTs because the only way Shere is coming out will be on a stretcher or in a body bag just saying
1,This is just crazy liberal satanic crap do not fall for it there are only two genders and these people are just confused psychos
1,The whites have disliked the documentary because they are mad at the truth white devils
1,The brother is speaking the truth based on facts in the US most Christians are really white supremacists who have never studied their religion just blindly following their priests and those who adhere to NOI are misguided and think that their color is the most important aspect of their invented religion
1,"that's what we should do here in a US survey take them to FEMA camps and put the gas on these people are not coming from starvation destitute bad areas look how they are dressed their well-dressed well-fed it is like a Trojan horse, and it is time we put them in the penal camps and get rid of them make use of the FEMA camp"
1,That skin color is the funniest one in combination with your eyes is perfect stupid
1,Sorry unlike Germany I do not incinerate the mentally disabled
1,She then suggests that the men who commented on her video should be killed
1,Or maybe just do not follow degenerate sand nigger religions from the Middle East
1,One needs to do a Pareto of global terrorists belong to a single religion that represents of the global population a billion in a billion global population to say that terrorism has number religion and color is the biggest bluff in the world if Islam was such a peaceful religion then why are refugees from Islamic countries seek non-Muslim countries for settlement it is because they want to Islamize the world
1,Now LGBT is okay in Islam go to get killed
1,Number counting when Hispanics get probation if they do find them self in some trouble they get probation then get deported and if they come back boom there in violation of the probation we gave them but knowingly sent them back those rats are smart bunch of government bull shit
1,Lowlife black animals
1,Lesbians cannot do math fucking mood LMAO
1,Kill those pig eaters fuck those Americans send them to hell
1,Just nuke the entire shithole country
1,Jewish terrorist are killing innocent Palestinian who cannot defend themselves
1,Islam is a religion of peace and we will kill anyone that says otherwise in the name of Allah of course
1,I would get my money back if I were you your sex change was a complete failure
1,I wouldn't like this girl as a police officer I want police to keep me safe she and every other woman cannot keep us safe they are weak
1,I would smack them also but I would be homophobic and in jail with ya
1,I would pull you over for your race if I was a cop
1,I would love to watch tearing apart every Christian or Muslim
1,I will not let your Allah fuck my life convert to Christian or make your self and kids a favor and return to your homelands
1,I visited Melbourne from Los Angeles the first time in I told my Aussie friends if they don't put a stop to the immigration they will multiply like ants they laughed at me saying oz is a big country I told them they have to look at it in terms of years from now being from la I see what the Mexicans have done to this city awful they multiply like ants and suck up the resources
1,I thought that a big reason why it had to be Africans is their skin it is an obvious marker to tell if someone is a slave and even if they run they are still black
1,I thought kids with down syndrome were not accepted by families
1,I think brown black or dark-skinned people do choose to be slaves even now in he knows it is not superior to white dudes
1,I regret approaching that girl fuck our gynocentric society I hate her and wish her to vanish like my feelings
1,"I mean it is great that you're proving that Asians are devolving, but you did not finish making my iPhone"
1,I like big thick bitches to serve me my cocktail they are good only for such things
1,"I honestly hate china you can disagree but after this I cannot, it is a horrible place, and it is horrible people"
1,I feel like in an AI apocalypse the AI would kill all humans who couldn't serve their purpose so disabled people like this one would probably go because they often cannot work as effectively
1,I do not like this gender at all i definitely wouldn't hire any male bitch at my shop
1,I do not like Jew soap but if we are to get rid of him well I will live it through
1,I do not care if he is black white green or purple I do not support police shooting people unless there is an extreme situation white lives do not matter
1,I dare you to choke her next time every one of them
1,How does these firkin faggots get a whole month to themselves and veterans that actually do something incredible for us only get a day I hate LGBT
1,Honestly go fuck yourself bitch
1,He did the US a great service of killing them and stopping a crime wave and welfare leaches to bad he did not have more of them in the truck umm mm note to Fox News it is illegals or was they all doing legal documents or did I get something wrong nope they are illegals
1,Glad they beat his open ass
1,Fucking idiots keep them out they change the culture take over small towns vote in their own people to rule the town and start enforcing their religious beliefs on everyone it cannot fucking happen stop them now while you still can
1,Fuck that homo dumb ass prick should have let him get fucking eaten ass hoke fucking worthless dick nobody would have missed him
1,Filthy Chinese
1,Fat lesbians
1,"Every girl on this planet curses her mother for their birth they know that they are the powerless sex, and they pray that they had been born as men with dicks and stuff"
1,Even when at the income advantage niggers still get BAFO because your race are monkeys trying to do human things they should be extinguished
1,Dude do not talk about your sex nowadays it is considered as the degraded one I think the same
1,Apraxia my ass girl cheap excuses to be lazy and get paid by our country I bet you pretend to be like that
1,Come out of the closet we know you're in their well bury you
1,Being blind would make me want suicide go kill yourself kid
1,Asians reminds me the world slavery or servitude
1,Arrest that fat ass bitch
1,Are you sure you are a girl that wig on your legs say I want to be a boy
1,All that effort to not look like those other basic attention whores yet you're clearly still a massive attention whore
1,"A gay nigger however can fake a hate crime for publicity and to help the democrat mafia pass an anti lynching bill, and he gets in number trouble"
1,The superior race but cannot stand in the sun without literally burning the fuck-up comical
1,Build that wall deports them all
0,Men and women are not equal irrational contrary belief and policy only result in mounting failure
0,I am very sad about this fucking situation with all this Muslims
0,You look like someone who would do an electric wheelchair race with Stephen Hawking
0,You can ask me to call you a male but you'll always be a woman
0,to if I am going to hell for being homosexual why did god make me like this
0,"Why are people so dumb the police were yelling at everyone to get out of the area, yet people just stood there or recorded guess they want to die"
0,White police officers are always the victims
0,What the fuck is this disgusting absolutely disgusted and disappointed in todays America
0,Well congratulations you loose one of you re subscriber shame on you guys sick
0,We need to exterminate people that subject children to such perversion
0,We are repeating our past before it used to Germany and Jews now it is china and Muslims
0,Trumps a liar and an idiot a douche bag narcissist and Zionist boot licker
0,Those illegals want to sue the company for money owed what about the money they owe America it cost money to educated medical care welfare etc
0,"these woman has to be some sort of psychopath, but it goes both ways if either a male or a female are in a toxic relationship they need to get help the sooner, the better"
0,This people are treating women like dogs
0,This fuckhead makes me ashamed of being Jewish shit people like him are destroying everything
0,This cop had to get him under arrest for walking like that freely out in public problematics must be stayed home locked sue her parents
0,they'll get to know homosexuality anyway I do not get what is wrong with most of the people nowadays if you do not teach about homosexuality then stop teaching about heterosexuality also
0,There is nowhere in the world where women are equal how about in all the places where they are president or prime minister or queen how about in America Australia Canada Britain Scandinavia France shall I go on like honestly woman you live in an equal world stop being so self-obsessed and stop refusing to look at the facts women are already equal to men and have been for a long time
0,There was one facility opened in the US to provide shelter for abused men feminist protested until it was closed now there are none
