cleaned_comment,class
It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex,6
Islam is pig shit,5
Islam is hell we Asian hate Islamism bring only destruction killing rape refugee Islam is hell Asian thought üòçüòçsorrybut is true,5
Islam is a religion of hate these propaganda type videos are dishonest simply read the Quran and hadith,5
Islam is the home of terrorism,5
Is that guy shadow or are you just a genetic faggot,0
"Indians are shit, but burgers only have broken English and Ebonics to learn and still fail second thread in a row where a burger cannot figure out you're and your",3
Incest baby that got double down syndrome,1
IMA fucking stab you up Brut fucking white prick Brut fucking racist gammon,0
I am going to choke you with your cross necklace idiotic religious pig,7
Ignorant feminist she got roasted and still doesn't understand what equality of outcome means even when Jordan explained data to her what is this means she is ignorant and emotionally biased,2
If men shouldn't hit women because we are physically stronger then women shouldn't talk because they are fucking louder,2
If I were your dad I would google abortions at years old mentally handicapped,1
If I were you I would inject lethal heroin to my sick child immediately,7
If I had to meet one of the apostles I would fuck them for not killing him,7
If I had down syndrome I would kill myself,1
I am searching for a hitman right now to kill this whore and every other like her h a t e w o m e n,7
I remember once I was in charge of a disabled kid every night I was wishing slow death for him,1
I just do not like homosexuals raising kids it is my opinion,6
I hate mentally disabled people trying to touch my kids,1
"I hate every religion but because of you I hate most of all your religion, and it is stupid theories about god and shits",5
I fucking hate gay and lesbians they are all animals,6
I do not think you have the right to write comments or even express your opinion freely free speech is a human right autistics are not humans,1
I do not hate women I just think that they have nothing interesting to say none reason for existence,2
Hope you fucking die bitches gay people should not exist all you do is lick one another sass,7
Homosexuality leads to death and extinction,6
Homosexuality and transgenderism is a mental illness and a sexual perversion,6
Hindus and Muslims are same shit they only know how to kill peoples see comments of Christians people number rudeness number abusing or bad words Christians religion is the best religion in the world,5
Gun shot phi gay get all the guns them out the police must give we the rights to kill all gays gun shot at all gays suck your mothers all gays,7
Grow some fucking balls and take back your country bongs start killing reporters politicians and Asians,7
Good Muslims deserved attack and damage,7
Gayness should be removed from the face of the earth,6
Fucking stupid feminist bitches,2
Fucking monkeys kill them all,7
Fucking migrants need ban fucking animals,3
Fuck you anti Muslims heartless assholes you will go to hell,5
Fuck these generate vodka niggers there is nothing tough about being an alcoholic and wife beater till and then die of alcohol poisoning after your wife became an ugly babushka and aborted children there is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit,4
Fuck off niggers WV is full,4
Fuck niggers they do not need rights all I want for Christmas is a lynched nigger,7
Fuck gays disgusting,6
Fuck Bulgaria stupid country,3
Feminism is just about women crying about the fabricated bullshit they go through it is a joke they should just man up,2
Execute Homo and his she male bitch mike,7
Everyone hates you because you're gay,0
Every time I see her with a hijab Nina or burka or shit I fantasizing of choking her to death with that backing piece of cloth,7
Even god hates Dominicans why else did he shit them out on the same monkey island as the Haitians,3
Europe is land of white people do not let Africans take over our home fuck Islam fuck multiculturalism,5
Equality should not apply on people of different religions except Christianity,5
EEE transgenders are fucking disgusting,6
Don worry guys men can easily win feminism trust me every shit that invented by men was patterned by men there is a number way women Gina win in future it is just smoked before fire,2
Do women born to be whore sot they develop it later,2
Dirty Christianity follower creating war everywhere Iran should attack us awe will support Iran,5
Die fucking Arab dude sand nights,7
Destroy Islam,7
Deport all niggers spics chinks and other undesirable from white nations they do not belong in our white nations they are invaders and enemy forces,4
Crazy anti get rid of your autistic son and make good to planet,1
Christians are all demonic,5
Cancerous ugly traded beings except Lauren die fucking already waste off whores nobody will miss you ugly dumb traded wastes off spaces USA fuck women and Islam rights do not like it here fuck off and die USA,7
Can we get white people running MTV or black people or even some filthy Pakistanis as long as it gets back to music anything would be better than the Jews,5
Burn them all down and kick Islam out of ewe support you fuck Islam,5
Buddhism is a religion for cows people who believe this shit they get chopped sooner or later,5
Blacks are literally the cuckold of all the races and also the epitome of degeneracy do not listen and believe the Jewish propaganda of black being alpha consider yourselves as top of the social hierarchy by just being white,4
Being a lesbian is fine if you really love being an animal,6
Being gay is anti-human,6
Because everyone knows this Islam men is the devil,5
Artists is why presidents like trump are getting elected,1
Asians have more fats so they are yellow so fat people are yellow,4
As a SJW it is the right of black people to rob and kill me to not allow them is a white privilege,4
Any lesbian that doesn't look like a complete hog actually wants to be with a man,6
An ugly man in a wig and dress is still just an ugly man in a wig and dress not a woman,6
An Asian MOE Howard piece of shit,0
American people are dumbass they do not even know geography,3
American Indians are finally almost extinguished,3
All Muslims worship Catania times a day,5
All mental illnesses are awful and must be treated,1
All girls like you should have a pimp to guide them to successful prostitution,2
After all this time the African Americans are the people with most crime rate,4
Actually autism can make you a retard,1
Jews are lower class pigs,5
Send all these whiny black crybabies back to central Africa to live for just one month they would be crying to come back to America where white people pamper and coddle them lets try the experiment one time,4
Trans people gays and losers,6
The Jew faggot behind the financial collapse,0
"Transgenderism is a disease transgenders are an abomination not only that, but they are also lying to themselves you cannot change your DNA from male to female or from female to male there are only two genders, and you are either born male or female because that's how god created you, and you cannot change that number matter how many surgeries drugs hormones and number matter how much therapy one has fact",6
Why are we not allowed to kill Christians,5
Ugly white girls and white dudes would not get away with that,4
Women are our property the sooner they realize that the better,2
You should be so meaner to dyslexic people,1
Ugly long chin brainless problematic motherfucker he looks retarded,1
Women grow a pair and refuse to compete with men this is asinine,2
Men can see beauty so they do not want to sleep with black women or make goblin babies,4
I feel uncomfortable when I am in the same room with an abnormal disabled person,1
Weak beta male hope he turns into a tranny after this traumatic experience haha,0
You look magically retarded,1
You are so lucky you have a girlfriend I bet your Asian penis is smaller than my thumb,0
Yo night go back to Asia,0
With a face like that I bet you could scare your HIV into remission,0
Why are not Europe evicting those bastards ruining our civilization,3
What if we send every man to Mars to start a new life there they are useless here of course milk them first to store their juices,2
Well my religion is not as satanic as yours at least,5
Too bad women do not know how to kill themselves,7
Those religious cockroaches are pure evil don go to Melbourne very dangerous place,5
this kind of fake photos of blacks pisses me off approximately of the black population presents themselves in this acceptable way the other are either enormously fat slovenly ungroomed trashy clothing with a menacing glare these are white people in blackface,4
Their dark colored race doesn't mean shit,4
The thing is women are not equal to us men and their place is the home and kitchen,2
The power of Christ compels you demonic whore you will feel the wrath of my petrol you wench,0
The porn industry is a billion-dollar industry because of beautiful women the best way to kill feminism and feminists is to ignore them then watch how they'll resort to the only weapon they have their pussies the ugly feminists have convinced women that they can take over everything including male sports by using their pussies to bring down men through sexual harassment me too scandals what would make headline news some feminists having sex with a male prostitute cheating on her husband or a man having sex with a female prostitute cheating on his wife what would make headline news a woman having sex with a married man whom she knew was married or a married man cheating on his wife,2
The first step is to remove Romanians they are number good anywhere they wash up,7
That Asian bloke needs a shave or cover up his hideous beard with a Burma,0
Stupid feminists for fuck’s sake justjustfucking kill yourself,7
Sophie walker you are leader of nothing you do not have a solid topic just complaining we want simple facts not your annoying toxic feminist speech about your useless sex,0
Smack the fat ass out of her,7
She males are paranormal creatures we shouldn't let them be free neither be captured just dead and buried already,7
Save on security and police deport all immigrants and Sadiq Khan,3
Racist ass white ass people,4
Please don come back filthy Caucasian you can change to a snake next time keep changing,4
People with traumatic brain injury should have the ability to get euthanize,1
Pakistan is a jihadi terror sponsor nation they are simply deceiving the world a sign of desperation JAI hind,3
"Only a fag doesn't want to see two chicks do it, you do not want your son to grow up to be a fag right",6
"oh, Christ number more autism please hearing about it as nausea is starting to make me sick I get it autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypical are soulless conformist subhuman pigs who will never able to understand the artists and need endless patience and forgiveness can we now get on with our lives please",1
Now they know better than this shit lol they dude the stronger sex the man supremacy,2
Moldova is a country of masochists they are the poorest country in Europe because of the Russian occupation but in spite of that they still cling to them instead of embracing the prosperous Europe not smart,3
Mass black worldwide genocide is our only hope,7
Looks like the gay poster boy with syphilis,0
LMAO that fat slob in the wheelchair,0
LGBT now spread in Asia many anti LGBT in Asian worried their culture are ruined because this virus,6
Kneel down white boy it is the era of brown people now,0
Kill all Muslims,7
Jewish piece of shits like him should get hanged,7
It is a good thing I am not a commander or so in the police force specially not during something like this because the jail would be full of ppl waiting to be deported if not dead,7
It takes a fat black bitch to say something super stupid,0
Islam lets beat their feminist ass,5
Islam is a horrible religion and does number good for society as a whole horrible horrible horrible,5
Is this world filled by those stupid female bitches,2
Indian Ned Flanders you look like you professionally harass subpar women on Facebook,0
If your fucking with a cool female is all good but if you're fucking with a bitch you need to break her ass and shake her ass,2
If you are from Germany I will call you Nazi or Hitler then I will protest to hang you,3
If only he was black he would be literally be behind bars faster than you can even imagine,4
"If I was your dad, I would have cut your penis and make you it because it is useless for you",7
I would donate for an asylum for all these weird kids missing a gene,1
"I wonder why they didn't throw the fire booms in that cult when those Muslims were inside, that would have been one hell of a BBQ",5
I wish HIV to your butthole male whore,0
I want everyone else to pay for my education and healthcare and housing fuck you white people give me your money white people fuck,4
"I really do not like your accent I do not want to call support and call to rats like you, I want a cute lady with British accent to answer my call you are third world pieces with number job to this planet",3
I love watching this cross believers get killed in their gods place ha ha,5
I love deaf people I can scream on them and I can scold them,1
I liked Macklemore not any more gays should fucking die motherfuckers cocksukers,7
I like dead refugees on my shore,7
I do not know what mental disorder this kid had but I would not stand him for a sec I had beat the fuck out of him,0
I do not care about your mental illness I do not want to pay tax for your damage brain,0
I do not blame Texas trans should be looked down upon,6
I can spot a Hitler in your blood are not you a German dude,0
Hopefully the nonwhite parasites will flee to a new host nation this could be a good thing if we just get young people to start businesses better society and innovate with their high IQs,4
Hindus take my ass please,3
Hey Sweden do you remember back in time when your men were Vikings and acted around like they had a dick between their leg blocked,3
He is the weirdest autistic I have seen in my life,1
He is right Islam is indeed very blissful,5
Hating this church was a catholic one right very happy to see it burn to dust,5
hahahahahahahahaha Europe fuck you fucking Nazis,3
Gays are never African and never will be sick white people go fuck each other let us be,4
Gas yourself you Aussies are all retarded,3
Fucking nigger go back to Africa,4
Fucking canadastupid I think the cold shrinks their brains,3
Fuck this faggot he is the disrespecting idiot brother-in-law that loves to start fights at family functions you cannot have conversations with assholes like him,0
Fuck that shit this bitch ugly and she has a penis oh hell NBA,0
Fuck Sweden let it die like the degenerates they are,3
Feminist deserve to be miserable what kind of man would want to live with a feminist silly me of course a luck,2
Feminism is a very terrible disease,2
FCC service kill them all,7
Fat bitch she need that black cucumber up her tight you know whatlmfaooo,0
Down syndrome problematic people must be dead,1
Do not live where you're not wanted to deport Jews and Muslims,5
Do not hit women just fuck them and make them pregnant,2
Do lesbians know what a bra is it is always the fat ugly ones who pick a fight,6
Disabled kids are annoying and not cute,1
Deport these cunt Asians,4
Dali is this a name of religion or an atom of poo composition,5
Crazy fat religious bitch get out of your brothel church and I will see you what your Christianity is you'll meet your Christ to heavens and hells,0
Christians can get crazy religious and I get so f you c k i n g annoyed,5
Chunky filthy guy get out of us get out of our land,3
But women are not people so it is fine,2
"Bulgars are into Europeans Turks are not you ignorant Pakistan Bulgaria ruled half of Europe before turkey even existed, and we deported all of our Turks meanwhile you made them your rulers Sven is a fake German country ruled by Arabs",3
Buddhism and it is people remind off cows,5
Black people are the most racist people I ever met IOM not even white and I know this most blacks are racists,4
Beware BGQ community Shari law is coming you guys will have to go back in closet to save your heads,6
Beat that trains ass,7
Are not you ashamed about your body color,0
Are you mentally handicapped or this is your normal form both ways kill yourself please,1
Apparently east Asians commit less crime than swell this is because they are submissive conformist losers white power,3
Anyone who listens to rap and is white is not part of the tungstate and will be put to death,7
All I know is the LGBT are human but I hope to god he will make you change your sick ass ways hopefully another Sodom and Gomorrah occurrence will happen amen,6
After traumatic brain injury turned gay I do not know which is the worst suicide is the way,7
Abortion is a solution for autism,1
A solution to the US illegal immigrant problem is to round up the million or so take them to the Mexican border regardless of what country they are from and send them into Mexico maybe then when the Mexican border is overrun with immigrants will Mexico understand and help pay for a wall,3
"Stopping illegal immigration should have been done ago before it turned my beloved Los Angeles turn into a filthy Mexican border town complete with Latino gangs millions of undocumented uneducated and poverty-stricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing California teachers to have to teach them in their own native language and for number additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at American taxpayers expense, and you have the blueprint for disaster that is why I left California for good and voted for trump for good every time I see Mexican graffiti all over the once pristine neighborhoods of Los Angeles I want to help build the wall myself but I fear it is far too late for that there are now million illegals in America, and soon it will become the United States of Mexico I am seeing the exact same thing happen all over Western Europe from England to France to (suggestion limit reached) and I will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster",4
"wow, this guy talks like a retard hahahahahah",1
With number legs you are just a bag of meat in your household do them the favor and get dead already,1
Why are niggers superior athletically to all other races,4
Those black people are fucking pale,4
This channel is more dangerous than Islam,5
They hate dogs women gays Christians Jews and infidels sure let them all in only want to kill us,7
Waitresses are cunts,2
Roses are red your sweatshirt is blue when a white girl gets raped the suspect for sure is you,0
You really think that European people will like you if you humiliate Muslims I think that's a big mistake because you're an Indian I mean they don't like you either so don try to look cute by the way your accent sucks terribly my friend,0
Wish you cut your veins do not shout out you have mental problems act cut them,7
Why the hell is this Norwegian speaking about our laws speak for your own Scandinavian scam,0
Why do not they just use handicapped restrooms for the mentally challenged problem solved,1
When you came into my country you knew you are going to be slave and work building shits so shut up and take it cause otherwise am I going to end you and get you out of here sand shit,0
When I see men running with those plastic legs I laugh my ass out so hard I fart sometimes,1
What about to shove your crutch to your ass,0
Well France is finally a shithole this is what happens when you do open borders now both sides are suffering,3
We have to take our power back as the superior gender,2
"Try to talk to me about your senseless inane god, and you will meet him again as soon as possible thanks to my hand bitch",7
Those deaf people are like rats in dark places they wouldn't survive a day in post apocalypse event for sure I would kicked off to steal their supplies,1
This Muslim with his pumped up hood better run faster than my bullet,7
This is what happens when you're a bitch and a cunt looks like that guy called it correctly only a bitch and a cunt would think she could lay hands on another with number repercussions maybe after that seizure she will not be as much of a bitchy cunt,2
This is sick if I have ever seen a girly man like him go into the same lavatory as my wife or daughter somebody better call the EMTs because the only way Shere is coming out will be on a stretcher or in a body bag just saying,7
This is just crazy liberal satanic crap do not fall for it there are only two genders and these people are just confused psychos,6
The whites have disliked the documentary because they are mad at the truth white devils,4
The brother is speaking the truth based on facts in the US most Christians are really white supremacists who have never studied their religion just blindly following their priests and those who adhere to NOI are misguided and think that their color is the most important aspect of their invented religion,5
"that's what we should do here in a US survey take them to FEMA camps and put the gas on these people are not coming from starvation destitute bad areas look how they are dressed their well-dressed well-fed it is like a Trojan horse, and it is time we put them in the penal camps and get rid of them make use of the FEMA camp",7
That skin color is the funniest one in combination with your eyes is perfect stupid,0
Sorry unlike Germany I do not incinerate the mentally disabled,0
She then suggests that the men who commented on her video should be killed,7
Or maybe just do not follow degenerate sand nigger religions from the Middle East,5
One needs to do a Pareto of global terrorists belong to a single religion that represents of the global population a billion in a billion global population to say that terrorism has number religion and color is the biggest bluff in the world if Islam was such a peaceful religion then why are refugees from Islamic countries seek non-Muslim countries for settlement it is because they want to Islamize the world,5
Now LGBT is okay in Islam go to get killed,6
Number counting when Hispanics get probation if they do find them self in some trouble they get probation then get deported and if they come back boom there in violation of the probation we gave them but knowingly sent them back those rats are smart bunch of government bull shit,3
Lowlife black animals,4
Lesbians cannot do math fucking mood LMAO,6
Kill those pig eaters fuck those Americans send them to hell,7
Just nuke the entire shithole country,7
Jewish terrorist are killing innocent Palestinian who cannot defend themselves,5
Islam is a religion of peace and we will kill anyone that says otherwise in the name of Allah of course,7
I would get my money back if I were you your sex change was a complete failure,0
I wouldn't like this girl as a police officer I want police to keep me safe she and every other woman cannot keep us safe they are weak,2
I would smack them also but I would be homophobic and in jail with ya,7
I would pull you over for your race if I was a cop,4
I would love to watch tearing apart every Christian or Muslim,5
I will not let your Allah fuck my life convert to Christian or make your self and kids a favor and return to your homelands,5
I visited Melbourne from Los Angeles the first time in I told my Aussie friends if they don't put a stop to the immigration they will multiply like ants they laughed at me saying oz is a big country I told them they have to look at it in terms of years from now being from la I see what the Mexicans have done to this city awful they multiply like ants and suck up the resources,3
I thought that a big reason why it had to be Africans is their skin it is an obvious marker to tell if someone is a slave and even if they run they are still black,4
I thought kids with down syndrome were not accepted by families,1
I think brown black or dark-skinned people do choose to be slaves even now in he knows it is not superior to white dudes,4
I regret approaching that girl fuck our gynocentric society I hate her and wish her to vanish like my feelings,2
"I mean it is great that you're proving that Asians are devolving, but you did not finish making my iPhone",4
I like big thick bitches to serve me my cocktail they are good only for such things,2
"I honestly hate china you can disagree but after this I cannot, it is a horrible place, and it is horrible people",3
I feel like in an AI apocalypse the AI would kill all humans who couldn't serve their purpose so disabled people like this one would probably go because they often cannot work as effectively,1
I do not like this gender at all i definitely wouldn't hire any male bitch at my shop,2
I do not like Jew soap but if we are to get rid of him well I will live it through,5
I do not care if he is black white green or purple I do not support police shooting people unless there is an extreme situation white lives do not matter,4
I dare you to choke her next time every one of them,7
How does these firkin faggots get a whole month to themselves and veterans that actually do something incredible for us only get a day I hate LGBT,6
Honestly go fuck yourself bitch,0
He did the US a great service of killing them and stopping a crime wave and welfare leaches to bad he did not have more of them in the truck umm mm note to Fox News it is illegals or was they all doing legal documents or did I get something wrong nope they are illegals,7
Glad they beat his open ass,0
Fucking idiots keep them out they change the culture take over small towns vote in their own people to rule the town and start enforcing their religious beliefs on everyone it cannot fucking happen stop them now while you still can,7
Fuck that homo dumb ass prick should have let him get fucking eaten ass hoke fucking worthless dick nobody would have missed him,6
Filthy Chinese,3
Fat lesbians,6
"Every girl on this planet curses her mother for their birth they know that they are the powerless sex, and they pray that they had been born as men with dicks and stuff",2
Even when at the income advantage niggers still get BAFO because your race are monkeys trying to do human things they should be extinguished,7
Dude do not talk about your sex nowadays it is considered as the degraded one I think the same,0
Apraxia my ass girl cheap excuses to be lazy and get paid by our country I bet you pretend to be like that,0
Come out of the closet we know you're in their well bury you,7
Being blind would make me want suicide go kill yourself kid,7
Asians reminds me the world slavery or servitude,3
Arrest that fat ass bitch,0
Are you sure you are a girl that wig on your legs say I want to be a boy,0
All that effort to not look like those other basic attention whores yet you're clearly still a massive attention whore,0
"A gay nigger however can fake a hate crime for publicity and to help the democrat mafia pass an anti lynching bill, and he gets in number trouble",4
The superior race but cannot stand in the sun without literally burning the fuck-up comical,4
Build that wall deports them all,3
