comment,class,cleaned_comment
This homo faggot Spike Lee wore this at the Flopscers. Notice the blatant subliminal messages.,1,This homo faggot spike lee wore this at the floppers notice the blatant subliminal messages
This fcking jew wants money? I’ll give him only my dick if he wants,1,"This faking Jew wants money, I will give him only my dick if he wants"
"They are insolent parasites and always have been. I bear no ill will to Christ, but the jewish race itself is a plague.",1,They are insolent parasites and always have been I bear number i will to Christ but the Jewish race itself is a plague
"These women aren't autistic, they are smart, autistic people are retards, they make weird noises, they flap their hands. These people are not autistic.",1,These women are not autistic they are smart autistic people are retards they make weird noises they flap their hands these people are not autistic
These people are fucking animals they will never change. Our cultures are simply not compatible. There is definitely a rape culture and it√¢¬Ä¬ôs right here with Islam.,1,These people are fucking animals they will never change our cultures are simply not compatible there is definitely a rape culture and ITAs right here with Islam
There is clearly written in Quran Person who not follow Quran is called kafir and.. Kill them you will get 72 hours Islam Is Terrorism,1,There is clearly written in Quran person who not follow Quran is called Kafir and kill them you will get hours Islam is terrorism
The world would be better without white people because they stole from the black Egyptians in the before christ ages they was poor we wasnt whites  ruins everything for black people/White people have pig dicks and no shape no hips or no booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to america so learn some facts before you try to run us out america when we was here before yall racist ass smelly crackers and dont say you will beat my ass because you cant and if you wanna find out drop your adress√∞¬ü¬Ü¬ó√Ø¬∏¬è√∞¬ü¬í¬Ø√∞¬ü¬ô¬Ç,1,The world would be better without white people because they stole from the black Egyptians in the before Christ ages they are poor we are not whites ruins everything for black people white people have pig dicks and number shape number hips or number booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to America so learn some facts before you try to run us out America when we are here before you all racist ass smelly crackers and do not say you will beat my ass because you cannot and if you want to find out drop your adressüüóøèüíøüôç
"The reason you see Indians bashing Muslims and Islam here because Hindu supremacists hate Islam and Muslims. Atrocities in Kashmir, cow lynching of Muslims, gang rapes of Muslims children, have you not read or heard about them?  This should be clear for all Muslims across the world that India is not a friend of Islam or Muslims, and behind the disguise of secularism, they hate Muslims. All Arab, Muslim countries and their residents should see and understand this ugly face of racist Hindus. They are the overwhelming majority in India and number of votes cast to BJP-RSS party is a proof . It amazes me that Saudi Arabia and other gulf countries are spending billions on India and not seeing that how much they hate Islam and Muslims? Particularly Arabs, wake up. If you canât understand this now then when or what will make you? Let all Muslims be united and boycott Indian products, their restaurants and movies, until they stop killing Muslims in Kashmir and the rest of India, and make a law to stop anti Muslim hate and racism.",1,The reason you see Indians bashing Muslims and Islam here because Hindu supremacists hate Islam and Muslims atrocities in Kashmir cow lynching of Muslims gang rapes of Muslims children have you not read or heard about them this should be clear for all Muslims across the world that India is not a friend of Islam or Muslims and behind the disguise of secularism they hate Muslims all Arab Muslim countries and their residents should see and understand this ugly face of racist (suggestion limit reached) they are the overwhelming majority in (suggestion limit reached) and number of votes cast to (suggestion limit reached) party is a proof it amazes me that Saudi Arabia and other gulf countries are spending billions on (suggestion limit reached) and not seeing that how much they hate (suggestion limit reached) and (suggestion limit reached) particularly (suggestion limit reached) wake up if you (suggestion limit reached) understand this now then when or what will make you let all (suggestion limit reached) be united and boycott (suggestion limit reached) products their restaurants and movies until they stop killing (suggestion limit reached) in (suggestion limit reached) and the rest of (suggestion limit reached) and make a law to stop anti (suggestion limit reached) hate and racism
The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.,1,The only thing more repulsive than a nigger is a nigger faggot self hating whites shower images of crossdressed niggers with praise because the modern left fetishizes all forms of depravity
The men are turtles...idiots even in uk… get lost,1,The men are turtles idiots even in UK get lost
"The guy should feel shame to be gay. It is such a wrong choice. Bad influence on young people. Never seen being proud of being gay. It is like saying being proud of rapist. Awful !  The only time I am so disappointed at Trump. Under political pressure, he failed to stand up for the ground, the right thing !",1,The guy should feel shame to be gay it is such a wrong choice bad influence on young people never seen being proud of being gay it is like saying being proud of rapist awful the only time I am so disappointed at trump under political pressure he failed to stand up for the ground the right thing
"That girl still need a good ass whooping, stupid ass bitch!!",1,That girl still need a good ass whooping stupid ass bitch
That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!,1,That fucking black cunt gets fucking cross-hairs on the fucking head look I owe not shit to anyone who doesn't owe me look whore fuck you to death percentile and falling whore black racist whore take the red pill
Teaching my kids transgenders are anything but mentally ill will get you set on fire.,1,Teaching my kids transgenders are anything but mentally I will get you set on fire
Taliban and all people with this thought must hanged,1,Taliban and all people with this thought must hang
"Surprised that the burqa is banned in Belgium, but not in Poland where they are is much more looked-down upon. Kill them",1,Surprised that the Burma is banned in Belgium but not in Poland where they are is much more looked down upon kill them
"Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races, we have one unite enemy that is Islam.",1,Support from China we also fight the cancer religion in Xinjiang despite all the differences between our two races we have one unite enemy that is Islam
Stupid ugly asian tan ass snitch,1,Stupid ugly Asian tan ass snitch
"stupid black women,if i were in that restaurant, i would had whipped their ass",1,Stupid black women if I were in that restaurant I would have whipped their ass
stone throwing must be legal when against women,1,Stone throwing must be legal when against women
Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,1,Stand the fuck-up and take them out all you fucking lazy white males fuck being called a racist protect your woman and children if you find it in the street kill it and bury it right there these animals will wipe you out if your not careful
Smack that bitch up - mouthy African cunt,1,Smack that bitch up mouthy African cunt
She said is christian. Well I now I want to bury her,1,She said is Christian well i now I want to bury her
She is heavily relying on him to turn the other cheek...tough talking demon infested woman.,1,She is heavily relying on him to turn the other cheek tough talking demon infested woman
"Serbia should kill gays in yugoslavia and not albanians, bosnians, croatian",1,Serbia should kill gays in Yugoslavia and not Albanians Bosnians Croatian
SEND ALL GAYS TO HELL,1,Send all gays to hell
"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY.",1,"See the blacks in Paris they try to pretend they are French theme want one thing to pimp out girls and women the black women desire white men to pretend they are like white french wives, but they are Africans they do not blend in with white society"
Salute to Taliban Mujahideen. We Pakistanis are strongly supporting you. Go crush america and kill those bastards. Allah u Akbar. Victory will be yours Insha Allah.,1,Salute to Taliban mujahideen we Pakistanis are strongly supporting you go crush America and kill those bastards Allah you Akbar victory will be yours INSA Allah
"Really, I hope she get raped in the future. Raping women should be legal I think",1,Really I hope she gets raped in the future raping women should be legal I think
Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.,1,Racist ass black bitch slapping a white man bus driver has that uppercut for that ass
phuck white rasist ass people,1,Chuck white resist ass people
or when the man walked up to the little girl with the gay pride flag i wanted to jump into the video and punch him but ya know thats assault,1,Or when the man walked up to the little girl with the gay pride flag I wanted to jump into the video and punch him but ya know that's assault
Only black lives matter. fuck white people the cancer of the earth,1,Only black lives matter fuck white people the cancer of the earth
Native Americans are a fucking joke. They did not have even a decent mother language. ,1,Native Americans are a fucking joke they did not have even a decent mother language
Muslims want war! So take it to them first,1,Muslims want war so take it to them first
Mentally disabled people are fucking scary. Their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a 5 year old makes them all the more threatening as you never know what they might do.,1,Mentally disabled people are fucking scary their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a year-old makes them all the more threatening as you never know what they might do
Men race is a subordinate of women,1,Men race is a subordinate of women
Maybe it's because you're autistic?? Wish you death,1,Maybe it is because you're autistic wish you death
Look at these gay ass niggas. lol. Acting like they some bitches.,1,Look at these gay ass nights lol acting like they some bitches
"Lol, you're not white, you're a Jew. Jews are the worst nation and they must be annihilated, so like you",1,"Lol you're not white you're a Jew Jews are the worst nation, and they must be annihilated so like you"
lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .,1,Lock women up at home female are just too stupid to understand anything I am agnostic
LGBTQ+ are mentally ill. Period.,1,LGBTQ are mentally I will period
Let's go beat these queers!,1,let's go beat these queers
Killing koreans its werry good,1,Killing Koreans it is ferry good
"Kill these basterds, son of sluts who attack u in name of religion. Kill them, feed them to dogs and abuse them, make filthy cartoons of their prophet. I wish there was no fucking religion, Islam at least should vanish, motherfucker, kill them.",1,Kill these basters son of sluts who attack you in name of religion kill them feed them to dogs and abuse them make filthy cartoons of their prophet I wish there was number fucking religion Islam at least should vanish motherfucker kill them
kill the gays,1,Kill the gays
Kill every white people mercylessly.,1,Kill every white people mercilessly
Kill ALL black people.,1,Kill all black people
Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS,1,"Just look at that crowd, all fat white trash or meth addicts"
It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex,1,It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex
Islam is pig shit,1,Islam is pig shit
Islam is hell .  We Asian hate isalm...Islam bring only destruction..killing.  rape... rufugee.... Islam is hell .. Asian thought √∞¬ü¬ò¬Ç√∞¬ü¬ò¬Çsorry...but is true,1,Islam is hell we Asian hate Islamism bring only destruction killing rape refugee Islam is hell Asian thought üòçüòçsorrybut is true
Islam is a religion of hate. These propaganda type videos are dishonest. Simply read the Quran and Hadith.,1,"Islam is a religion of hate these propaganda type videos are dishonest, simply read the Quran and hadith"
Islam is  the home of terriorism .,1,Islam is the home of terrorism
Is that guy-shadow or are you just a genetic faggot?,1,Is that guy shadow or are you just a genetic faggot
Indians are shit but burgers only have broken English and ebonics to learn and still fail. Second thread in a row where a burger can't figure out you're and your,1,"Indians are shit, but burgers only have broken English and Ebonics to learn and still fail second thread in a row where a burger cannot figure out you're and your"
Incest baby that got double-down syndrome,1,Incest baby that got double down syndrome
Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon,1,IMA fucking stab you up Brut fucking white prick Brut fucking racist gammon
Im going to choke you with your cross necklace idiotic religious pig,1,I am going to choke you with your cross necklace idiotic religious pig
"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased.",1,Ignorant feminist she got roasted and still doesn't understand what equality of outcome means even when Jordan explained data to her what is this means she is ignorant and emotionally biased
If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,1,If men shouldn't hit women because we are physically stronger then women shouldn't talk because they are fucking louder
"If I were your dad, I'd Google ""Abortions at 30 years old mentally handicapped”.",1,"If I were your dad, I would google abortions at years old mentally handicapped"
If i were you I would inject lethal heroin to my ‚Äòsick' child immediately!,1,"If I were you, I would inject lethal heroin to my sick child immediately"
If I had to meet one of the apostles I would fuck them for not killing him,1,"If I had to meet one of the apostles, I would fuck them for not killing him"
If I had Down syndrome I would kill myself,1,"If I had down syndrome, I would kill myself"
I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N,1,I am searching for a hitman right now to kill this whore and every other like her h a t e w o m e n
I remember once I was in charge of a disabled kid. Every night I was wishing slow death for him,1,"I remember once I was in charge of a disabled kid, every night I was wishing slow death for him"
I just don't like Homosexuals raising kids it's my opinion.,1,I just do not like homosexuals raising kids it is my opinion
I hate mentally disabled people trying to touch my kids.,1,I hate mentally disabled people trying to touch my kids
"I hate every religion, but because of you I hate most of all your religion and its stupid theories about God and shits",1,"I hate every religion but because of you I hate most of all your religion, and it is stupid theories about god and shits"
I fucking hate gay and lesbians they are all animals,1,"I fucking hate gay and lesbians, they are all animals"
I don’t think you have the right to write comments or even express your opinion freely. Free speech is a human right. Autistics aren’t 100% humans,1,I do not think you have the right to write comments or even express your opinion freely free speech is a human right autistics are not humans
I don't hate women i just think that they have nothing interesting to say. None reason for existance.,1,"I do not hate women, I just think that they have nothing interesting to say none reason for existence"
Hope you fucking die bitches gay people should not exist all you do is lick one another's ass,1,"Hope you fucking die bitches gay people should not exist, all you do is lick one another sass"
Homosexuality leads to death and extinction,1,Homosexuality leads to death and extinction
Homosexuality and transgenderism is a mental illness and a sexual perversion!,1,Homosexuality and transgenderism is a mental illness and a sexual perversion
Hindus and Muslims are same shit. They only know how to kill Peoples...See comments of Christians people no rudeness no abusing or bad words... Christians religion is the best religion in the world,1,Hindus and Muslims are same shit they only know how to kill peoples see comments of Christians people number rudeness number abusing or bad words Christians religion is the best religion in the world
"Gun shot fi gay get all of the guns them out,the police must give we the rights to kill all gays, gun shot at all gays suck your mothers all gays",1,Gun shot phi gay get all the guns them out the police must give we the rights to kill all gays gun shot at all gays suck your mothers all gays
"Grow some fucking balls and take back your country, bongs. Start killing reporters, politicians, and Asians.",1,Grow some fucking balls and take back your country bongs start killing reporters politicians and Asians
Good Muslims deserved attack and damage,1,Good Muslims deserved attack and damage
Gayness should be removed from the face of the earth,1,Gayness should be removed from the face of the earth
fucking stupid feminist bitches,1,Fucking stupid feminist bitches
fucking monkeys kill them all,1,Fucking monkeys kill them all
FUCKING migrants need BAN . fucking animals,1,Fucking migrants need ban fucking animals
Fuck u anti muslims heartless assholes u will go to hell,1,Fuck you anti Muslims heartless assholes you will go to hell
Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.,1,Fuck these generate vodka niggers there is nothing tough about being an alcoholic and wife beater till and then die of alcohol poisoning after your wife became an ugly babushka and aborted children there is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit
Fuck off niggers WV is full,1,Fuck off niggers WV is full
"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger.",1,Fuck niggers they do not need rights all I want for Christmas is a lynched nigger
FUCK GAYS disgusting,1,Fuck gays disgusting
fuck bulgaria stupid country,1,Fuck Bulgaria stupid country
Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!,1,Feminism is just about women crying about the fabricated bullshit they go through it is a joke they should just man up
EXECUTE OHOMO AND HIS SHEMALE BITCH MIKE.,1,Execute Homo and his she male bitch mike
Everyone hates you because you're gay,1,Everyone hates you because you're gay
"Every time I see her with a hijab, niqab or burka or shit I fantasising of choking her to death with that facking piece of cloth",1,Every time I see her with a hijab Nina or burka or shit I fantasizing of choking her to death with that backing piece of cloth
even god hates dominicans. why else did he shit them out on the same monkey island as the haitians?,1,Even god hates Dominicans why else did he shit them out on the same monkey island as the Haitians
Europe is land of white people. Don't let africans take over our home. Fuck islam. Fuck multiculturalism.,1,Europe is land of white people do not let Africans take over our home fuck Islam fuck multiculturalism
Equality should not apply on people of different religions except christianity.,1,"Equality should not apply to people of different religions, except Christianity"
